1,1,He grinned and said， “I make lots of money.  On weekdays I receive an average of 50 orders a day from all over the globe via the Internet.” ,彼はにっこり笑った／そして言った／「私は稼いでいる・たくさんのお金を。平日に／私は受け取っている・平均で50の注文を／一日当たり／地球の至る所から／インターネット経由で」 ,彼はにっこり笑って「とても儲かっていますよ。平日はインターネット経由で世界中から１日平均５０件の注文があるんです」と言った。 
2,1,“What does your son do?” “Well， he used to work for a multinational corporation， but unfortunately he is unemployed at the moment.” ,「何を・あなたの息子さんは（日頃）していますか？」「えーと／彼はかつては働いていました／多国籍企業のために／しかし／残念なことに／彼は雇われていません／現時点では」,「息子さんのご職業は何ですか？」「ええそれがですね，以前は多国籍企業に勤めていたのですが，残念ながら現時点では失業中なんです」 
3,1,“Guess what!  I quit my full-time job last autumn and at present I'm traveling around the countryside.”  “You never cease to astonish me!” ,「あのねえ。私はやめたのです・常勤の仕事を／直近の秋に／そして／現在は／私は旅をしている最中です／地方のあちこちに」「君は決してやめない／私を驚かせることを」 ,「実はね，僕この秋に常勤の仕事をやめてね。今は地方をあちこち旅しているところなんだ」「あなたにはいつもビックリさせられるわ」    
4,1,“A few buttons are coming loose， so I want you to sew them back on before they come off.  I cherish this jacket because it was my late father's.” ,「少数のボタンがなってきている・ぐらぐらした状態に／だから／私は望む・あなたが・それらを縫うことを／元の所へと／くっつけて／前に・それらが取れる。私は大切にしている・このジャケットを／何故ならそれは私の亡くなった父のものだったから」 ,「ボタンがいくつか取れそうなんで，取れないうちに縫い直して欲しいんだ。このジャケットは亡くなった父さんのもので大切にしているんだよ」   
5,1,“Is Barbie moving to the suburbs?” “Believe it or not， she is moving into your neighborhood.  You may well bump into her one of these days.” ,「バービーは引っ越すのですか？／郊外へ」「信じられないかもしれないが／彼女は引っ越します／あなたの住んでいる地域に。あなたはおそらく彼女に出くわすだろう／そのうちに」,「バービーは郊外へ引っ越すのかい？」「びっくりしないでよ。彼女はあなたが住んでいる地区に越すのよ。たぶんそのうち彼女にばったり出くわすわよ」   
6,1,“By the way， does anybody know what's become of Jim?” “I do.  I heard from him the week before last.  He said he was earning a living as a guard.” ,「ところで／誰か知っていますか／どうなったか・ジムが」「私は知っています。私は彼から連絡をもらった／先々週に。彼は言った／彼は生活費を稼いでいると／警備員として」 ,「ところで，誰かジムがどうなったか知ってる？」「ああ，知ってるよ。先々週彼から連絡があった。警備員をして生活しているそうだ」   
7,1,“The dollar has strengthened against the major currencies.  At the current exchange rate， a dollar is equivalent to 120 yen.” ,「ドルが強くなった／主要な通貨に対して。現行の交換率では／１ドルは等しい／120円に」 ,「ドルが主要通貨に対して値を上げました。現在の為替レートは１ドル120円となっています」   
8,2,Peggy said to herself， “I've never been to such a boring， horrible party before， but I might as well look like I'm enjoying myself.” ,ペギーは言った／自分自身に向かって／「私は今までに一度も来たことがない・こんな退屈でひどいパーティに／これ以前には／しかし／私は表情をしておいた方がいいかもしれない／私が今エンジョイしている最中だという」 ,ペギーは心の中でつぶやいた。「こんな退屈でひどいパーティは初めてだけど，とりあえずはエンジョイしているっていう顔をしておいた方がいいかもね」   
9,2,The blind and deaf person says that he has been struggling for many years but has now come to terms with his disability. ,その盲目で耳の聞こえない人は言っている／次のことを・自分は今までずっともがき続けてきた／何年もの間／しかし今では折り合いがついた・自分の肉体的障害と。 ,盲目で耳の聞こえないその人は，長年苦悶し続けてきたが，今では自分の障害が受け入れられるようになったと語る。  
10,2,“He is normally punctual for appointments.  Oh， here he comes.  Tony， where on earth have you been? We've been waiting for you for ages!” ,「彼は通常は時間厳守だ／会う約束に対して。あっ／彼が来た。トニー／どこに／いったいぜんたい／今まで君はいたのか。我々は待ち続けていた／君のことを／長い間」 ,「あいつはいつもは約束の時間をきちんと守るんだが... あっ，来た。トニー，一体今までどこをほっつき歩いていたんだ？ ずいぶん待ったぞ」   
11,2,“I've had a dull pain in my chest on and off for a couple of days.” “Really?  That's too bad.  Have you seen a proper doctor?” ,「私はずっともっている・鈍い痛みを／私の胸部に／断続的に／数日間」「本当に？ それはいけないですね。すでに診てもらったのですか・きちんとした医者に」 ,「ここ数日，断続的に胸に鈍い痛みがあるんだ」「本当？ それはいけないわね。ちゃんとした医者に診てもらったの？」   
12,2,This lizard grows really fast. By the time it is a month old， it will have doubled in length， and within six months it will have reached as long as 50 cm. ,このトカゲは成長します／非常に速く。次の時までには／それが１ヶ月の年齢になっている（時までには）／それは２倍になり終えています／長さにおいて／そして／６ヶ月以内に／それは達し終えています・50センチもの長さに。 ,このトカゲは非常に速く成長します。生後１ヶ月目には体長が２倍になっており，６ヶ月以内に50センチもの長さになっています。   
13,2,The other day， I met Meg Brown for the first time in three years.  She had changed so much that I didn't recognize her right away. ,先日／私は会いました・メグ・ブラウンに／初めて／３年の中で。彼女は（その時までに）変わってしまっていた／とても大きく／次の程・私が彼女であると気づかないほど／すぐに。 ,先日３年ぶりにメグ・ブラウンに会った。誰だかすぐにはわからないほど変わってしまっていた。   
14,2,The presidential candidate got off the bus and shook hands in turn with each of his loyal supporters， who had cheerfully greeted him. ,その大統領の候補者は降りた・ バスから／そして握手をした／順番に／おのおのと／自分の忠実な支持者達の／ちなみにその人達は（その時までに）陽気に彼を出迎えていたのだが。 ,大統領候補者はバスを降りて，にこやかに出迎えてくれた熱心な支持者達一人一人と順番に握手をしていった。    
15,3,As the millionaire hadn't drawn up his will， Daniel， his stepson and only heir， inherited his entire estate upon his sudden death.  ,次の理由で・その百万長者が（その時までにまだ）書き終えていなかった（という理由で）・自分の遺言状を／／ダニエルが／つまり彼のまま息子であり唯一の相続人だが／相続した・彼の全ての遺産を／彼の突然の死と同時に。 ,その大富豪は遺言を残していなかったため，彼が突然亡くなると，まま息子で唯一の相続人であるダニエルが全ての遺産を相続した。   
16,3,A newspaper editorial implied that the tragic catastrophe had been caused by the workers who had paid little heed to safety procedures. ,ある新聞の社説はほのめかした／次のことを・その悲劇的な大惨事は（その時以前に）引き起こされたと／作業員達によって／すなわちその人達は（それ以前に）払っていた・ほとんどない注意を／安全手順に。 ,ある新聞の社説は，その悲劇的な大惨事は，安全手順にほとんど注意を払っていなかった作業員達によって引き起こされたとほのめかした。  
17,3,The crops were doing badly， so the initial outlook was dismal.  However， as it turned out， the actual grain harvest surpassed the bleak forecast. ,その作物は不出来な状態であった／だから／当初の見通しは暗かった。しかしながら／結果が現れた時／実際の穀物の収穫は上回った・その暗い予想を。 ,当初，作物の出来は悪く，見通しは暗かった。しかしながら，いざ蓋を開けてみるとそんな暗い予想を上回る穀物の収穫があった。   
18,3,As of April 1st， postal rates will rise by 5%. On April 2nd， subway fares will be raised by 10%.  Starting April 3rd， my allowance will be reduced by half. ,４月１日から／郵便料金が上がる／５％ぶん。４月２日に／地下鉄の運賃が引き上げられる／10％ぶん。４月３日から／私の小遣いは減らされる／半分。 ,４月１日から郵便料金が５％上がり，４月２日には地下鉄の運賃が10％引き上げられる。４月３日からは私の小遣いが半分に引き下げられる。   
19,3,I'm hoping for a pay raise.  I recently got a master's degree in business administration.  It's a qualification that entitles you to a higher salary. ,私は今願っているところです／給料のアップを。私は最近得ました・修士の学位を／企業の経営における。それは資格です／すなわちそれは人に権利を与える／より高い給与に対する。 ,私は今，給料アップを期待しているところです。最近，企業経営の修士号を取りましてね。それは給与アップの権利が得られる資格なのです。   
20,3,The visitors were due to arrive at the airport in less than two hours， but their plane was delayed due to a suspected bomb in the baggage compartment.  ,訪問客達は予定であった・到着する／その空港に／２時間以内に／しかし／彼らの飛行機は遅らされた／疑いのある爆弾が原因で／荷物室内の。 ,訪問客の一行は２時間以内に空港に到着する予定であったが，飛行機の荷物室に爆弾が仕掛けられた疑いが出たことによって到着が遅れてしまった。   
21,3,“I'd like to talk to you in person.  Are you available on Monday?” “Let me check -- “Monday isn't convenient for me.  Any day except Monday will do.” ,「私はしたい・話すことを／あなたと／直接に。あなたは空いていますか？／月曜日に」「今調べてみます／／月曜日は都合良くありません／私にとっては。 いかなる日でも／月曜日を除き／ＯＫです」 ,「直接お会いして話がしたいのですが，月曜はご都合よろしいですか？」「ちょっと調べてみます...月曜は都合がよくないですね。月曜以外ならいつでもよいのですが」   
22,4,It can be summarized as follows: her so-called boyfriend talked her into bearing a large portion of his debts and then disappeared. ,それは要約されることができる／次のように／彼女のいわゆる恋人は彼女を言い含めた／負うようにと・大きな部分を／彼の借金の／そしてその後，姿を消した。 ,つまりそれは要約するとこうだ。彼女のいわゆる「恋人」は彼女を言い含めて自分の借金の大半を肩代わりさせ，そして姿をくらましたと。   
23,4,He whispered in my ear， “This has to be an attractive deal for you.  Think it over and let me know your answer as soon as possible.” ,彼はささやいた／私の耳の中へ／「これは魅力的な取引にちがいない／君にとって。これをじっくりと検討して下さい／そして私に知らせて下さい・君の回答を／できるだけ早く」 ,男は私の耳元で「これはあなたにとって絶対に魅力的な取引ですよ。よく考えてできるだけ早く答えを聞かせて下さい」とささやいた。   
24,4,The Simpsons were planning to go for a swim over the weekend， but they had to call it off because of rough weather.,シンプソン家の人々は予定していた／出かけることを・水泳に／週末の期間中に／しかし／彼らはそれを取り消さなければならなかった／荒れた天気が原因で。 ,シンプソン一家は週末に泳ぎに行く予定だったが，荒天のために取りやめざるを得なかった。   
25,4,“Can I try it on?”“Certainly. Here you are.”“It fits perfectly. It goes well with my shirt. What do you think?” “You look marvelous! It matches your trousers， as well.”,「かまいませんか？ 私がそれを試着しても」「もちろんです。はいどうぞ」「これはサイズが合っている／完璧に。これは調和している／私のワイシャツと。どうあなたは思います？」「あなたは見えます・すばらしく。それは合っています・あなたのズボンに／同じく」 ,「試着していいですか？」「はい。どうぞ」「サイズはぴったりだな。それにワイシャツにもよく合う。どう思います？」「とてもステキです！ ズボンにもよく合っていますよ」   
